date,team1,team2,t1score,t2score,odd1,odd2
2020-08-23,Los Angeles Valiant,Los Angeles Gladiators,2,3,1.64,2.21
2020-08-23,San Francisco Shock,Atlanta Reign,3,2,1.05,9.75
2020-08-23,Dallas Fuel,Paris Eternal,1,3,4.35,1.2
2020-08-23,Seoul Dynasty,London Spitfire,3,2,1.06,8.39
2020-08-23,Los Angeles Valiant,Vancouver Titans,3,0,1.06,9.08
2020-08-22,Los Angeles Gladiators,Atlanta Reign,3,1,1.33,3.11
2020-08-22,Dallas Fuel,Toronto Defiant,3,1,1.28,3.64
2020-08-22,Washington Justice,San Francisco Shock,0,3,14.22,1.02
2020-08-22,London Spitfire,New York Excelsior,1,3,7.41,1.08
2020-08-22,Hangzhou Spark,Seoul Dynasty,3,0,2.72,1.43
2020-08-21,Los Angeles Gladiators,Florida Mayhem,1,3,2.25,1.61
2020-08-21,Vancouver Titans,Boston Uprising,3,0,1.16,4.59
2020-08-16,Vancouver Titans,Atlanta Reign,3,1,12.08,1.03
2020-08-16,Florida Mayhem,Los Angeles Valiant,2,3,1.23,4.19
2020-08-16,San Francisco Shock,Toronto Defiant,3,0,1.01,16.04
2020-08-16,Seoul Dynasty,London Spitfire,3,0,1.2,4.35
2020-08-16,San Francisco Shock,Philadelphia Fusion,0,3,1.29,3.56
2020-08-15,Boston Uprising,Los Angeles Gladiators,0,3,11.47,1.04
2020-08-15,Vancouver Titans,Dallas Fuel,0,3,3.27,1.34
2020-08-15,Atlanta Reign,Paris Eternal,2,3,4.11,1.22
2020-08-15,Shanghai Dragons,London Spitfire,3,0,1.03,13.77
2020-08-15,New York Excelsior,Seoul Dynasty,0,3,1.3,3.43
2020-08-14,Los Angeles Gladiators,Dallas Fuel,3,0,1.35,3.14
2020-08-14,Florida Mayhem,Vancouver Titans,3,1,1.01,16.18
2020-08-14,London Spitfire,Seoul Dynasty,0,3,2.41,1.55
2020-08-02,Philadelphia Fusion,Los Angeles Valiant,3,0,1.16,4.98
2020-08-02,Los Angeles Gladiators,Florida Mayhem,1,3,3.45,1.3
2020-08-02,Dallas Fuel,Atlanta Reign,1,3,2.13,1.7
2020-08-01,Houston Outlaws,San Francisco Shock,0,3,11.01,1.04
2020-08-01,Toronto Defiant,Vancouver Titans,3,2,1.29,3.5
2020-08-01,Paris Eternal,Washington Justice,3,1,1.03,12.47
2020-08-01,New York Excelsior,Shanghai Dragons,1,3,2.82,1.41
2020-08-01,London Spitfire,Hangzhou Spark,0,3,1.74,2.04
2020-08-01,Seoul Dynasty,Guangzhou Charge,1,3,3.79,1.26
2020-07-31,Los Angeles Valiant,Houston Outlaws,3,2,1.55,2.4
